alpha,Mach,accepted,gep_cr,gep_ci,jump_cr,jump_ci,one_minus_overlap
0.02,1.325,0.0,0.0359922981350801,3.0522749768108574e-11,0.038682691642021295,0.0020359476142667505,1.3025407051836524e-06
0.03,1.325,0.0,0.0553658006210351,0.0015691346515636,0.0386292894107147,0.0015691346210408503,4.579715833563647e-06
0.06,1.6,0.0,0.6833837499853285,0.006612239260619,0.03845420706566549,0.0005629774300828999,0.004751703322188772
0.06,1.625,0.0,0.6834960501144447,0.0067972159943491,0.03841876860676563,0.0006210311547672999,0.005236459085453449
0.21,1.325,0.0,0.7113126632170967,0.0056372281079257,0.03817504309534436,0.0008010686839756004,0.0023978821295204122
0.19,1.35,0.0,0.7112993156205911,0.0062150827654678,0.03815859972229452,0.0010666159808438002,0.0051986974490836335
0.15,1.4,0.0,0.7057043050396474,0.0103145566929471,0.03776015641516217,0.0023961777075051996,0.01727080230799205
0.29,1.8,0.0,0.7117606394021895,0.0089999256421682,0.03749483277951815,0.0027475057773304005,0.023405713798651195
0.07,1.675,0.0,0.7399538476537709,0.007330802127278,0.03702588555826247,0.0014287133931045002,0.012686643772414574
0.07,1.65,0.0,0.7029279620955085,0.0076569488434478,0.03702588555826247,0.0010289304484965012,0.011063846811181999
0.08,1.15,0.0,0.0360249940877396,0.0016059172735015,0.030832013236288598,0.0016059172734868856,1.9073513948031362e-05
0.08,1.125,0.0,0.005192980851451,1.461446357936387e-14,0.030832013236288598,0.0016059172734868856,3.3320723578089684e-06
0.1,1.5,0.0,0.6961137203660459,0.0083750464529468,0.03034368741342308,0.0006624293272092007,0.031119092298593998
0.09,1.525,0.0,0.6948048185517044,0.0088118789710778,0.02996620404688588,0.0008412157665290011,0.021733824752489972
0.11,1.475,0.0,0.6965432035358509,0.0079074306973575,0.029623773833750477,0.0006442808137569998,0.03868830420038616
0.11,1.35,0.0,0.2007516930418635,0.0046545450464574,0.0293247470952126,0.00031042165092780034,0.0008652485151211531
0.08,1.375,0.0,0.2007548472199736,0.0042132857675876,0.029320297990016397,0.00028298465315289983,0.0002501477977527866
0.08,1.4,0.0,0.23007514520999,0.0044765837077781,0.029320297990016397,0.0002632979401905001,0.0002890931496547511
0.3,1.1,0.0,0.1813016669192818,0.0067218318862673,0.029313109074654897,0.0007935451612565998,0.007547323346383972
0.3,1.075,0.0,0.1519885578446269,0.0059282867250107,0.029313109074654897,0.0007935451612565998,0.004469280805167841
0.1,1.35,0.0,0.1909996799722514,0.0043974487880271,0.029290084681331513,0.00029664853024139945,0.0005500579947156359
0.09,1.375,0.0,0.2105162135415405,0.0044444845823893,0.029257113233746884,0.00028764135706680054,0.0005044812030131629
0.09,1.35,0.0,0.1812591003077936,0.0041568432253225,0.029257113233746884,0.00028764135706680054,0.00034715008804775405
0.29,1.1,0.0,0.1715050590235033,0.006377449388496,0.029249632226272998,0.0007391322178431992,0.006290303773227812
0.29,1.075,0.0,0.1422554267972303,0.0056383171706528,0.029249632226272998,0.0007391322178431992,0.0011396351574399777
0.08,1.35,0.0,0.1715291501037815,0.0039303011144347,0.029225697116192106,0.00028298465315289983,0.00021613084941396465
0.12,1.45,0.0,0.6967070421258821,0.0077493570021537,0.029201285139524358,0.0004078509759345003,0.04181866298708237
0.02,1.475,0.0,0.1910374098595852,0.0034636365465265,0.02919736167605741,0.0002602589944332998,8.903180440444913e-06
0.29,1.025,0.0,0.1130394185757338,0.0048352801135235,0.02905538128550869,0.0005964311686901995,0.0011642422357414084
0.29,1.0,0.0,0.0839840372902251,0.0042388489448333,0.02905538128550869,0.0005964311686901995,8.235086024577232e-05
0.05,1.325,0.0,0.103655594344019,0.002810760976648,0.029046829823051595,0.0004160749630781001,3.0642602583785816e-05
0.2,1.1,0.0,0.1228560534258178,0.0045942690787044,0.02903194442392501,0.00048146117386090037,0.0006945392492370139
0.2,1.075,0.0,0.0938241090018928,0.0041128079048435,0.02903194442392501,0.00048146117386090037,0.00037447820882396954
0.25,1.05,0.0,0.1130991779209971,0.0047095605347866,0.029028965480052696,0.0005416099258855004,0.0008864083293503855
