alpha,Mach,ci,omega_i,success,source,primary_ci,primary_omega_i,primary_success,primary_mismatch,secondary_ci,secondary_omega_i,secondary_success,secondary_stage1_mismatch,secondary_stage2_mismatch,ci_abs_diff,omega_abs_diff
0.22999999999999995,0.06999999999999999,0.65643228840091,0.15097942633220926,True,primary,0.65643228840091,0.15097942633220926,True,2.4132085807669623e-06,,,,,,,
0.3,0.06999999999999999,0.5740641384597819,0.17221924153793455,True,primary,0.5740641384597819,0.17221924153793455,True,1.473822312095252e-06,,,,,,,
0.37,0.06999999999999999,0.49855507085482975,0.184465376216287,True,primary,0.49855507085482975,0.184465376216287,True,7.743022645894868e-07,,,,,,,
0.43999999999999995,0.06999999999999999,0.4287755205462889,0.1886612290403671,True,primary,0.4287755205462889,0.1886612290403671,True,1.5980064076159817e-06,,,,,,,
0.5099999999999999,0.06999999999999999,0.36385492181508755,0.18556601012569462,True,primary,0.36385492181508755,0.18556601012569462,True,3.3801510508895544e-06,,,,,,,
0.58,0.06999999999999999,0.30305668882943176,0.1757728795210704,True,primary,0.30305668882943176,0.1757728795210704,True,1.0881849714719505e-06,,,,,,,
0.6499999999999999,0.06999999999999999,0.24581111056448085,0.15977722186691254,True,primary,0.24581111056448085,0.15977722186691254,True,4.928399257599601e-07,,,,,,,
0.72,0.06999999999999999,0.19165290665528842,0.13799009279180766,True,primary,0.19165290665528842,0.13799009279180766,True,1.3730685455414643e-06,,,,,,,
0.7899999999999999,0.06999999999999999,0.14014757106735776,0.11071658114321262,True,primary,0.14014757106735776,0.11071658114321262,True,1.2126673999812015e-06,,,,,,,
0.8599999999999999,0.06999999999999999,0.0909453880330697,0.07821303370843993,True,secondary_neutral,0.09092497212151215,0.07819547602450044,True,8.638685229170329e-07,0.0909453880330697,0.07821303370843993,True,4.716032158380077e-06,1.6585800532271773e-28,2.0415911557547517e-05,1.7557683939489754e-05
0.9299999999999999,0.06999999999999999,0.04380041638845841,0.04073438724126632,True,secondary_neutral,0.04378151264272993,0.04071680675773884,True,1.537962944567206e-07,0.04380041638845841,0.04073438724126632,True,3.325134525930055e-05,1.050959940980693e-27,1.8903745728479637e-05,1.758048352748509e-05
1.0,0.06999999999999999,0.0010442295105619946,0.0010442295105619946,True,secondary_neutral,0.0,0.0,True,0.0,0.0010442295105619946,0.0010442295105619946,True,0.0227259227065282,1.4995930263889346e-25,0.0010442295105619946,0.0010442295105619946
0.02,0.13999999999999999,0.946633083892712,0.018932661677854238,True,primary,0.946633083892712,0.018932661677854238,True,4.092914823792919e-09,,,,,,,
