epoch,loss,loss_pde,loss_bc,loss_bc_kappa,loss_bc_q,loss_norm,loss_integral_norm,loss_phase,loss_peak_slope,loss_peak_curvature,loss_loc_center,loss_loc_spread,loss_riccati_anchor,loss_q_supervision,loss_riccati_center_kappa,loss_riccati_center_peak,loss_riccati_boundary_band_kappa,loss_riccati_boundary_band_q,loss_riccati_shooting_match,loss_ci_stability_outside,loss_ci_neutrality,loss_ci_low_alpha_zero,loss_ci_smoothness,loss_ci_supervision,stage_w_ci_supervision,stage_neutral_fraction,ci_supervision_neutral_fraction,stage2_started,mapping_scale,ci_mid,audit_ci_mae,audit_ci_max_abs,audit_ci_mean_rel,audit_ci_max_rel,audit_p_rel_l2_mean,audit_p_rel_l2_max,audit_env_rel_mean,audit_env_rel_max,audit_phase_rel_mean,audit_phase_rel_max,audit_peak_shift_mean,audit_peak_shift_max,audit_env_rel_weighted_mean,audit_phase_rel_weighted_mean,audit_peak_shift_weighted_mean,audit_checkpoint_metric,n_focus_alphas,focus_alpha_min,focus_alpha_max
45,0.4292975962162018,0.08939030766487122,0.32824426889419556,0.027632754296064377,0.002595836529508233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023326058872044086,5.0,0.2,0.2,0,3.0000009536743164,0.2535881996154785,,,,,,,,,,,,,,,,0.4292975962162018,0,,
46,0.4455730617046356,0.09138931334018707,0.34657955169677734,0.02881583198904991,0.002921061124652624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001520843943580985,5.0,0.2,0.2,0,3.0000009536743164,0.2551267743110657,,,,,,,,,,,,,,,,0.4455730617046356,0,,
47,0.40544745326042175,0.09056457132101059,0.30757004022598267,0.025009293109178543,0.0028738551773130894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001462566782720387,5.0,0.2,0.2,0,3.0000009536743164,0.2567134201526642,,,,,,,,,,,,,,,,0.40544745326042175,0,,
48,0.4059750437736511,0.0938304215669632,0.30635398626327515,0.02585381641983986,0.0023907911963760853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011581296566873789,5.0,0.2,0.2,0,3.0000009536743164,0.25829795002937317,,,,,,,,,,,,,,,,0.4059750437736511,0,,
49,0.3866654336452484,0.09663993865251541,0.2819390892982483,0.024652544409036636,0.0017706824000924826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016172835603356361,5.0,0.2,0.2,0,3.0000009536743164,0.2598729133605957,,,,,,,,,,,,,,,,0.3866654336452484,0,,
50,0.418377161026001,0.10850770771503448,0.3032952845096588,0.028087984770536423,0.0011207712814211845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013148298021405935,5.0,0.2,0.2,0,3.0000009536743164,0.2613905668258667,,,,,,,,,,,,,,,,0.418377161026001,0,,
51,0.447872132062912,0.11307895183563232,0.3281957507133484,0.030877763405442238,0.0009709064615890384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001319485018029809,5.0,0.2,0.2,0,3.0000009536743164,0.2627905607223511,,,,,,,,,,,,,,,,0.447872132062912,0,,
52,0.387538880109787,0.11476889252662659,0.26270347833633423,0.024361733347177505,0.0009543079067952931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002013301709666848,5.0,0.2,0.2,0,3.0000009536743164,0.26404857635498047,,,,,,,,,,,,,,,,0.387538880109787,0,,
53,0.4063486158847809,0.10783599317073822,0.29109621047973633,0.02726377546787262,0.0009229232091456652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014832766028121114,5.0,0.2,0.2,0,3.0000009536743164,0.265384316444397,,,,,,,,,,,,,,,,0.4063486158847809,0,,
54,0.42510226368904114,0.10401100665330887,0.3124769330024719,0.02894432656466961,0.0011516844388097525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017228667857125401,5.0,0.2,0.2,0,3.0000009536743164,0.2664564549922943,,,,,,,,,,,,,,,,0.42510226368904114,0,,
